bond_info,charges,race,gender,first_statute
25000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
4499.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony) |AC 000.00 UZ,Black,Male,26503
50000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
150000.0,160.15 FB (ROBBERY-1ST B Felony),Other,Male,16015
20000.0,140.25 FC (BURGLARY-2ND C Felony),Black,Male,14025
8502.0,215.51 FE (CRIMINAL CONTEMPT-1ST E Felony) |215.51 FE (CRIMINAL CONTEMPT-1ST E Felony) |215.51 FE (CRIMINAL CONTEMPT-1ST E Felony) |215.51 FE (CRIMINAL CONTEMPT-1ST E Felony),Other,Male,21551
2503.0,215.51 FE (CRIMINAL CONTEMPT-1ST E Felony) |120.14 MA (MENACING-2ND A Misdemeanor) |120.14 MA (MENACING-2ND A Misdemeanor) |120.14 MA (MENACING-2ND A Misdemeanor),Other,Male,21551
5000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
2000.0,160.15 FB (ROBBERY-1ST B Felony),White,Male,16015
7500.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
25000.0,140.25 FC (BURGLARY-2ND C Felony),White,Male,14025
650000.0,110-125.25 FB (Attempted MURDER B Felony) |140.25 FC (BURGLARY-2ND C Felony),Black,Male,110125
75001.0,155.30 FE (GRAND LARCENY-4TH E Felony) |120.05 FD (ASSAULT -2ND D Felony),Black,Male,15530
100000.0,160.15 FB (ROBBERY-1ST B Felony),Other,Male,16015
5000.0,160.15 FB (ROBBERY-1ST B Felony),White,Male,16015
10000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
150000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
200000.0,140.25 FC (BURGLARY-2ND C Felony),Other,Male,14025
8000.0,140.25 FC (BURGLARY-2ND C Felony),White,Male,14025
20000.0,140.25 FC (BURGLARY-2ND C Felony),Other,Male,14025
20000.0,160.15 FB (ROBBERY-1ST B Felony),Other,Male,16015
15000.0,130.35 FB (RAPE-1ST B Felony),Black,Male,13035
10000.0,130.35 FB (RAPE-1ST B Felony),Black,Male,13035
15000.0,160.15 FB (ROBBERY-1ST B Felony),White,Male,16015
10000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
750.0,160.15 FB (ROBBERY-1ST B Felony),Other,Male,16015
10000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
35001.0,160.10 FC (ROBBERY-2ND C Felony) |160.05 FD (ROBBERY-3RD D Felony),Black,Male,16010
40000.0,140.25 FC (BURGLARY-2ND C Felony),Other,Male,14025
10000.0,160.15 FB (ROBBERY-1ST B Felony),Other,Male,16015
7500.0,160.15 FB (ROBBERY-1ST B Felony),Other,Male,16015
50000.0,160.15 FB (ROBBERY-1ST B Felony),Other,Male,16015
5000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
5001.0,120.05 FD (ASSAULT -2ND D Felony) |220.03 MA (CRIM POSS CONTRL SUBST A Misdemeanor),Black,Male,12005
20000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
10000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
30000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
750000.0,125.25 FA (MURDER A Felony),Black,Male,12525
25002.0,215.51 FE (CRIMINAL CONTEMPT-1ST E Felony) |240.75 FE ( E Felony) |240.75 FE ( E Felony),Black,Male,21551
150002.0,220.16 FB (CRIM POSS CONTRL SUBST-3RD B Felony) |215.40 FE (TAMPER WITH PHYSICAL EVIDENCE E Felony) |265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony),Black,Male,22016
7503.0,155.25 MA (PETIT LARCENY A Misdemeanor) |140.30 FB (BURGLARY-1ST B Felony) |155.25 MA (PETIT LARCENY A Misdemeanor) |155.25 MA (PETIT LARCENY A Misdemeanor),Other,Male,15525
15000.0,160.15 FB (ROBBERY-1ST B Felony),Other,Male,16015
149999.0,220.21 FA (CRIM POSS CONTRL SUBSTANCE-1ST A Felony) |AC 000.00 UZ,Black,Male,22021
299999.0,110-125.25 FB (Attempted MURDER B Felony) |CO ZT (Court Order ),Asian,Male,110125
50000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
25000.0,140.25 FC (BURGLARY-2ND C Felony),Other,Male,14025
50000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
500000.0,125.25 FA (MURDER A Felony),Black,Male,12525
250000.0,140.25 FC (BURGLARY-2ND C Felony),Black,Male,14025
250000.0,160.15 FB (ROBBERY-1ST B Felony),Other,Male,16015
50000.0,130.35 FB (RAPE-1ST B Felony),Black,Male,13035
100000.0,155.35 FD (GRAND LARCENY-2ND D Felony),Black,Male,15535
15002.0,120.05 FD (ASSAULT -2ND D Felony) |265.02 FD (CRIM POSS WEAP-3RD DEG D Felony) |215.50 MA (CRIMINAL CONTEMP- 2ND A Misdemeanor),Black,Male,12005
35002.0,110-120.10 FC (Attempted ASSAULT-1ST C Felony) |140.35 MA (POSSESSION OF BURGLAR TOOLS A Misdemeanor) |155.25 MA (PETIT LARCENY A Misdemeanor),Black,Male,110120
50000.0,130.35 FB (RAPE-1ST B Felony),Black,Male,13035
250000.0,125.25 FA (MURDER A Felony),Black,Male,12525
50000.0,160.15 FB (ROBBERY-1ST B Felony),Other,Male,16015
500000.0,125.25 FA (MURDER A Felony),Black,Male,12525
99999.0,265.03 FC (CRIM POSS WEAPON- 2ND DEGREE C Felony) |CO ZT (Court Order ),Other,Male,26503
200000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
25000.0,130.35 FB (RAPE-1ST B Felony),Black,Male,13035
5000.0,110-140.30 FC (Attempted BURGLARY-1ST C Felony),Black,Male,110140
5000.0,140.25 FC (BURGLARY-2ND C Felony),Black,Male,14025
10001.0,110-125.25 FB (Attempted MURDER B Felony) |CO ZT (Court Order ),Black,Male,110125
50000.0,130.35 FB (RAPE-1ST B Felony),Black,Male,13035
100000.0,125.25 FA (MURDER A Felony),Other,Male,12525
15000.0,160.15 FB (ROBBERY-1ST B Felony),White,Male,16015
20000.0,120.05 FD (ASSAULT -2ND D Felony) |120.05 FD (ASSAULT -2ND D Felony),White,Male,12005
20000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
75000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
25000.0,160.15 FB (ROBBERY-1ST B Felony),Other,Male,16015
20000.0,160.15 FB (ROBBERY-1ST B Felony),White,Male,16015
15000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
300000.0,130.35 FB (RAPE-1ST B Felony),Black,Male,13035
5001.0,160.15 FB (ROBBERY-1ST B Felony) |110-160.05 FE (Attempted ROBBERY-3RD E Felony),Black,Female,16015
15000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
8000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
1000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
25000.0,160.15 FB (ROBBERY-1ST B Felony),Black,Male,16015
