,Duration_Jail,Bond_Amount
"(Interval(220000, 225000, closed='right'), 'Black')",23.285714285714285,225000.0
"(Interval(220000, 225000, closed='right'), 'White')",2.0,225000.0
"(Interval(225000, 230000, closed='right'), 'Black')",16.142857142857142,230000.0
"(Interval(230000, 235000, closed='right'), 'Black')",3.4285714285714284,232000.0
"(Interval(235000, 240000, closed='right'), 'Black')",14.625,240000.0
"(Interval(245000, 250000, closed='right'), 'Black')",110.21428571428571,249771.42857142858
"(Interval(245000, 250000, closed='right'), 'Hispanic')",33.0,250000.0
"(Interval(245000, 250000, closed='right'), 'White')",75.23529411764706,250000.0
"(Interval(250000, 255000, closed='right'), 'Black')",24.142857142857142,255000.0
"(Interval(255000, 260000, closed='right'), 'Black')",37.91304347826087,259152.1739130435
"(Interval(255000, 260000, closed='right'), 'Hispanic')",30.571428571428573,256000.0
"(Interval(260000, 265000, closed='right'), 'Black')",50.5,265000.0
"(Interval(265000, 270000, closed='right'), 'Black')",20.5,267500.0
"(Interval(270000, 275000, closed='right'), 'Black')",64.9090909090909,275000.0
"(Interval(270000, 275000, closed='right'), 'Hispanic')",33.0,275000.0
"(Interval(270000, 275000, closed='right'), 'White')",86.55555555555556,275000.0
"(Interval(275000, 280000, closed='right'), 'Black')",66.42857142857143,277857.14285714284
"(Interval(295000, 300000, closed='right'), 'Black')",65.22340425531915,300000.0
"(Interval(295000, 300000, closed='right'), 'Hispanic')",132.4,300000.0
"(Interval(295000, 300000, closed='right'), 'White')",58.2,300000.0
"(Interval(305000, 310000, closed='right'), 'Black')",30.545454545454547,308636.36363636365
"(Interval(310000, 315000, closed='right'), 'Black')",108.66666666666667,315000.0
"(Interval(320000, 325000, closed='right'), 'Hispanic')",24.571428571428573,325000.0
"(Interval(325000, 330000, closed='right'), 'Black')",150.07142857142858,327857.14285714284
"(Interval(345000, 350000, closed='right'), 'Black')",48.44444444444444,350000.0
"(Interval(345000, 350000, closed='right'), 'Hispanic')",18.25,350000.0
"(Interval(350000, 355000, closed='right'), 'Black')",3.0,355000.0
"(Interval(370000, 375000, closed='right'), 'Black')",123.75,375000.0
"(Interval(370000, 375000, closed='right'), 'White')",20.0,375000.0
"(Interval(395000, 400000, closed='right'), 'Black')",168.6315789473684,400000.0
"(Interval(400000, 405000, closed='right'), 'Black')",130.75,400500.0
"(Interval(405000, 410000, closed='right'), 'Black')",106.0,410000.0
"(Interval(415000, 420000, closed='right'), 'Black')",1.3333333333333333,420000.0
"(Interval(420000, 425000, closed='right'), 'Black')",9.666666666666666,425000.0
"(Interval(445000, 450000, closed='right'), 'None')",10.666666666666666,450000.0
"(Interval(470000, 475000, closed='right'), 'Black')",855.0,475000.0
"(Interval(470000, 475000, closed='right'), 'Hispanic')",52.333333333333336,475000.0
"(Interval(495000, 500000, closed='right'), 'Black')",73.16129032258064,500000.0
"(Interval(500000, 505000, closed='right'), 'Black')",0.0,502500.0
"(Interval(500000, 505000, closed='right'), 'White')",6.5,503000.0
"(Interval(505000, 510000, closed='right'), 'Black')",89.33333333333333,510000.0
"(Interval(510000, 515000, closed='right'), 'Black')",139.0,515000.0
"(Interval(520000, 525000, closed='right'), 'Black')",11.6,525000.0
"(Interval(520000, 525000, closed='right'), 'White')",3.5,525000.0
"(Interval(545000, 550000, closed='right'), 'White')",44.18181818181818,550000.0
"(Interval(570000, 575000, closed='right'), 'Black')",65.0,575000.0
"(Interval(595000, 600000, closed='right'), 'Black')",76.9375,600000.0
"(Interval(595000, 600000, closed='right'), 'White')",85.18181818181819,600000.0
"(Interval(645000, 650000, closed='right'), 'Black')",418.0,650000.0
"(Interval(695000, 700000, closed='right'), 'Black')",40.8,700000.0
"(Interval(745000, 750000, closed='right'), 'Black')",1.0,750000.0
"(Interval(995000, 1000000, closed='right'), 'Black')",73.39393939393939,1000000.0
